ID,Title,Software Path,Number of changes,,Software Path,Number of bugs
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Dev/LKill/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ObjectModel/Converters,3,,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/TransactionLog/ControlTransactionLog/Visitors/PriceUpdateCreationVisitor.cs,2
87678,R10Auto:tax discount cacel,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/BL.BusinessServices/Maintenance/Product/Maintenance/Parts/StoreRangePartOfProductMaintenanceService.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/Tests/FrontEnd.Test/Promotion/BackwardCompatibility/PromotionMaintenanceRequest.xml,2
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/Tests/FrontEnd.Test/Promotion/BackwardCompatibility/V1EmptyProprtieseRemoverShould.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/ContractType/BusinessUnitCommonData.cs,2
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RestrictionRule/SellRestrictionActivity/ConditionalRestrictionActivity/Activity/ConditionRestrictionActivityContent.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/Validators/ConditionsContractValidator.cs,2
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/Tests/FrontEnd.Test/Promotion/BackwardCompatibility/PromotionFactoryMock.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Tests/Retalix.StoreServer.PromotionEngine.UnitTest/Promotion/BackwardCompatibility/RewardsFactoryShould.cs,2
87678,R10Auto:tax discount cacel,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ARTSV6_0_0,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/FrontEnd/Promotion/BackwardCompatibility/ModelToContract/DistributionFactory.cs,2
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/ServiceHost/Tests/Retalix.StoreServer.Model.Test/Selling/SecurityScale/SecurityScaleLearningModeShould.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Tests/Retalix.StoreServer.PromotionEngine.UnitTest/Promotion/BackwardCompatibility/FileReaderHelper.cs,2
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/TransactionLog/ControlTransactionLog/Visitors/GiftReceiteCreationVisitor.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/FrontEnd/Promotion/BackwardCompatibility/ModelToContract/CriterionsFactory.cs,2
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/Tests/FrontEnd.Test/Promotion/BackwardCompatibility/BackwardCompatibilityAdaptorShould.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/ContractType/ContributionEligibilityType.cs,2
75670,Balance Inquriy -for online item - pos gives general error after scaning / entering the seconde barcode and press OK,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/BL.BusinessComponents/Selling/BPM/Order/Activities/SuspendRetailTransactionHandler.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Tests/Retalix.StoreServer.PromotionEngine.UnitTest/Promotion/BackwardCompatibility/PromotionXml,2
